name,ingredients,url,image,cookTime,recipeYield,datePublished,prepTime,description,cookTime_H,cookTime_M,prepTime_M,totalTime,difficulty
Easy Green Chile Enchiladas,"1 whole Onion, Diced
2 Tablespoons Butter
1 can (15 Ounce) Green Enchilada Sauce
2 cans (4 Ounce) Chopped Green Chilies
12 whole Corn Tortillas
2 cups Freshly Grated Cheddar (or Cheddar-jack) Cheese (or Any Cheese You'd Like)
 Sour Cream
 Salsa
 Pico De Gallo (optional)
 Guacamole (optional)
 Cilantro Leaves, Optional",http://thepioneerwoman.com/cooking/2012/05/easy-green-chile-enchiladas/,http://static.thepioneerwoman.com/cooking/files/2012/05/enchilada.jpg,10M,4,2012-05-31,5M,"When I was in Albuquerque with Marlboro Man and the boys a month ago, I had a really fun book signing. Such incredibly nice a...",0,10,5,15,Easy
Spicy Stewed Beef with Creamy Cheddar Grits,"2 Tablespoons Canola Oil
2 Tablespoons Butter
3 pounds Stew Meat Or Diced Chuck Roast
1 can (11 Ounces) Chipotle Peppers In Adobo Sauce
4 cups Low-sodium Beef Broth, More If Needed
5 cloves Minced Garlic
1 Tablespoon Cumin
2 teaspoons Chili Powder
1 whole Onion, Diced
1 whole Red Bell Pepper
3 whole Chilies (any Variety, Hot Or Mild)
4 cups Stone Ground Grits
6 cups Low Sodium Chicken (or Beef) Broth
3 cups Water
2 cups Half-and-half
2 cups Grated Cheddar Cheese",http://thepioneerwoman.com/cooking/2012/01/spicy-stewed-beef-with-creamy-cheddar-grits/,http://static.thepioneerwoman.com/cooking/files/2012/01/stewedbeef.jpg,3H,12,2012-01-30,20M,"My oh my, was this good. Ultra spicy, seriously tender stewed meat served over unbelievably creamy cheese grits. The spicines...",3,0,20,200,Hard
Frito Chili Pie,"2 pounds Ground Chuck
3 cloves Garlic, Minced (optional)
1 can (12 To 14 Ounce) Tomato Sauce
1 can (10 Ounce) Ro-tel (diced Tomatoes And Chilies)
1/2 teaspoon Salt
1 teaspoon Ground Oregano
1 Tablespoon Ground Cumin
2 Tablespoons Chili Powder (more To Taste)
1 can (14-ounce) Kidney Beans, Drained And Rinsed
1 can (14-ounce) Pinto Beans, Drained And Rinsed
1/4 cup Masa (corn Flour) Or Regular Corn Meal
1/2 cup Warm Water
 Individual Bags Of Fritos
 Grated Sharp Cheddar Cheese
 Diced Red Onion (Optional)",http://thepioneerwoman.com/cooking/2011/09/frito-chili-pie/,http://static.thepioneerwoman.com/cooking/files/2011/09/TPW_1850.jpg,1H,8,2011-09-26,5M,"We're submerged in football right now. There's no other way to put it. Marlboro Man is coaching my two boys' football team, M...",1,0,5,65,Hard
Beef and Bean Burritos,"2 pounds Ground Beef
1/2 whole Medium Onion
1 can (7 Ounce) Mexican Tomato Sauce Or Enchilada Sauce
 Salt And Pepper, to taste
 Cumin, Oregano, Chili Powder, Garlic To Taste
1 can (28 Ounce) Refried Beans
3/4 cups Grated Cheddar Cheese
12 whole Burrito-sized Flour Tortillas
 Extra Grated Cheese, For Sprinkling
 Extra Sauce, For Drizzling
 Cilantro Leaves, Optional
 Optional Filling Ingredients: Mexican Rice, Sour Cream, Guacamole, Green Chilies, Pico De Gallo",http://thepioneerwoman.com/cooking/2010/07/brown-hot-and-plenty-of-it-vol-i/,http://static.thepioneerwoman.com/cooking/files/2010/07/4784959605_c5713e9e4b_b.jpg,11M,6,2010-07-12,5M,"First, an important clarification: The Pioneer Woman Cooks is not meant to be an encyclopedia of innovative gourmet recipes. ...",0,11,5,16,Easy
Chicken Tortilla Soup,"2 whole Boneless, Skinless Chicken Breasts
1 Tablespoon Olive Oil
1-1/2 teaspoon Cumin
1 teaspoon Chili Powder
1/2 teaspoon Garlic Powder
1/2 teaspoon Salt
1 Tablespoon Olive Oil
1 cup Diced Onion
1/4 cup Diced Green Bell Pepper
1/4 cup Red Bell Pepper
3 cloves Garlic, Minced
1 can (10 Oz. Can) Rotel Tomatoes And Green Chilies
32 ounces, fluid Low Sodium Chicken Stock
3 Tablespoons Tomato Paste
4 cups Hot Water
2 cans (15 Oz. Can) Black Beans, Drained
3 Tablespoons Cornmeal Or Masa
5 whole Corn Tortillas, Cut Into Uniform Strips Around 2 To 3 Inches
 _____
 FOR THE GARNISHES:
 Sour Cream
 Diced Avocado
 Diced Red Onion
 Salsa Or Pico De Gallo
 Grated Monterey Jack Cheese
 Cilantro",http://thepioneerwoman.com/cooking/2011/01/chicken-tortilla-soup/,http://static.thepioneerwoman.com/cooking/files/2011/01/5337400468_d5892f3a03_o.jpg,1H30M,8,2011-01-10,10M,"I love, love, love, love Chicken Tortilla Soup. So over the weekend, I made some.     The end.     Wasn't that a beautiful st...",1,30,10,100,Hard
My Brother’s Chicken Tacos,"16 whole Corn Tortillas (small Size)
4 whole Boneless, Skinless Chicken Breasts, Cut Into Pieces
 Salt, Cumin, Chili Powder To Taste (or Use Taco Seasoning)
2 Tablespoons Canola Oil
2 cans (4 Ounce) Diced Green Chilies
1-1/2 cup Finely Grated Cheese (cheddar Or Cheddar/jack Mix)
 Sour Cream
 Hot Sauce (Chulula Or Other Brand)
2 cups Thinly Sliced Romaine Lettuce (or Any Lettuce)
4 whole Roma Tomatoes, Diced
 Canola Oil, For Frying Tacos",http://thepioneerwoman.com/cooking/2011/03/my-brothers-chicken-tacos/,http://static.thepioneerwoman.com/cooking/files/2011/03/tacos.jpg,30M,8,2011-03-31,10M,"Before I share this recipe with you, let me warn you: it's a royal mess. But as is the case with many messy dishes (cinnamon ...",0,30,10,40,Medium
Corn Chowder with Chilies,"2 slices Bacon, Cut Into 1/2-inch Pieces (or Smaller)
2 Tablespoons Butter
1-1/2 whole Yellow Onion, Diced
5 ears Corn, Shucked (about 4 Cups)
2 whole Chipotle Peppers In Adobo Sauce, Finely Diced
1 whole 4-ounce Can Diced Green Chilies
32 ounces, fluid Low Sodium Chicken Broth
1-1/2 cup Heavy Whipping Cream
1/2 teaspoon Kosher Salt (more To Taste)
3 Tablespoons Corn Meal OR Masa
1/4 cup Water",http://thepioneerwoman.com/cooking/2010/10/corn-chowder-with-chilies/,http://static.thepioneerwoman.com/cooking/files/2010/10/chowder.jpg,20M,8,2010-10-08,10M,"This is to die for.     It's just a regular corn chowder made with fresh corn shaved off the cob, which is yummy enough as it...",0,20,10,30,Unknown
Creamy Cheese Grits with Chilies,"4-1/2 cups Water
1/2 teaspoon Salt
1 cup Grits (quick Or Regular)
1/2 can (10 Ounce Can) Rotel (tomatoes And Chilies)
1 can (4 Ounce Can) Chopped Green Chilies
8 ounces, weight Monterey Jack Cheese, Grated
4 ounces, weight Cream Cheese, Cut Into Cubes
1/4 teaspoon Cayenne Pepper
1/4 teaspoon Paprika
 Black Pepper To Taste
1 whole Egg Beaten",http://thepioneerwoman.com/cooking/2010/10/creamy-cheese-grits-with-chilies/,http://static.thepioneerwoman.com/cooking/files/2010/10/5079611293_ff628b6e0c_z.jpg,45M,8,2010-10-14,5M,"I have a good, basic recipe for cheese grits in my cookbook, but last night I was feeling feisty.     I was cooking steaks. B...",0,45,5,50,Medium
Restaurant Style Salsa,"1 can (28 Ounce) Whole Tomatoes With Juice
2 cans (10 Ounce) Rotel (diced Tomatoes And Green Chilies)
1/4 cup Chopped Onion
1 clove Garlic, Minced
1 whole Jalapeno, Quartered And Sliced Thin
1/4 teaspoon Sugar
1/4 teaspoon Salt
1/4 teaspoon Ground Cumin
1/2 cup Cilantro (more To Taste!)
1/2 whole Lime Juice",http://thepioneerwoman.com/cooking/2010/01/restaurant-style-salsa/,http://static.thepioneerwoman.com/cooking/files/2010/07/4307514771_c089bbd7101.jpg,,12,2010-01-27,10M,"Okay. Here's the situation:     I am completely high maintenance when it comes to salsa.     Now, I'm not talking about Pico ...",0,0,10,10,Easy
White Chicken Enchiladas,"2-1/2 cups Cooked, Shredded Chicken
2 cups Reserved Broth From Chicken
3 Tablespoons Canola Oil
12 whole Corn Tortillas
1 whole Large Onion, Diced
3 whole 4 Oz Cans Whole Green Chilies, Diced
1 whole Jalapeno, Seeded And Finely Diced
1 teaspoon Paprika
1/2 cup Heavy Cream
2 Tablespoons Butter
2 Tablespoons Flour
1 cup Sour Cream
2-1/2 cups Monterey Jack Cheese, Grated
 Salt And Pepper, to taste
 Picante Sauce (optional)
 Cilantro, Chopped",http://thepioneerwoman.com/cooking/2009/11/white-chicken-enchiladas/,http://static.thepioneerwoman.com/cooking/files/2010/07/4060528829_67db52b435.jpg,30M,6,2009-11-09,45M,"I'm happy to share my method for making creamy, dreamy, delicious, nutritious, yummy, nummy white chicken enchiladas.    They...",0,30,45,75,Hard
